id_rubrique,nom,type,depth,parent,nb_produits
2004600,"Aspirateurs industriels",0,2,9000163,895
1001222,"Accessoires de marquage",0,2,1000225,887
2016184,"Perforateur & burineur",0,2,1000264,784
2014273,"Meuleuse à angle",0,2,2012218,690
2007558,"Rampe pour PMR",0,2,2000408,581
2018939,"Fraise à plaquette",0,2,2006852,414
2002543,"Perceuses à colonne",0,2,1000264,375
2011484,"Chariot de soin hospitalier",0,2,2000407,356
2002201,"Nettoyeur ultrason",0,2,9000225,351
2002905,Carotteuses,0,2,1000264,335
2004068,"Filières d'usinage",0,2,2012389,333
2000309,"Presse à injection",0,2,2000286,333
1001217,"Presses plieuses industrielles",0,2,2009553,331
2004615,"Rouleuses industrielles",0,2,2009553,327
2002723,"Masque FFP2",0,2,9000386,318
1001210,Fraiseuses,0,2,2006852,316
1001320,"Extracteurs de gaz et de fumée",0,2,9000163,311
1001212,"Centres d'usinage",0,2,2011969,306
2009567,"Cintreuses manuelles",0,2,2009553,300
2003281,Sableuses,0,2,2012579,290
2007058,"Tours d'établi",0,2,2006894,273
2002582,"Cintreuses industrielles",0,2,2009553,273
2015687,"Coupe câble",0,2,2012391,268
10804,"Gels hydroalcooliques",0,2,2011916,256
2005580,Affûteuses,0,2,2012218,250
10793,"Chariots à linge",0,2,2000407,233
2010313,"Tronçonneuse à fraise-scie",0,2,2018382,226
2005225,"Automates programmables industriels",0,2,2005223,226
9000581,"Réacteur industriel",0,1,1000006,215
2007191,"Armoire médicale",0,2,2000444,206
2001729,"Cisaille industrielle",0,2,2011597,199
9000188,"Aspirateur industriel huile et copeaux",0,2,9000163,199
2010519,"Marquages à jet d'encre",0,2,1000225,197
1001275,"Mélangeur industriel",0,2,9000616,195
1001274,"Doseur industriel",0,2,1000038,191
1001220,"Marquages laser",0,2,1000225,190
2018916,Raboteuse-dégauchisseuse,0,2,2007322,189
2018459,"Masque lavable",0,2,9000386,189
2006367,"Marquages et découpes à laser",0,2,1000225,185
9000518,"Machine a coudre industrielle",0,2,2000092,180
2000122,"Piqueuse plate ",0,2,2000092,177
2006895,"Tours cnc  horizontaux",0,2,2006894,176
2010033,"Cabines de sablage",0,2,2012579,176
2014574,"Coupe industrielle",0,2,2011597,167
